"Gene"	"Gene synonym"	"Ensembl"	"Gene description"	"Uniprot"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA cell line specificity"	"RNA cell line distribution"
"MYH14"	"DFNA4, FLJ13881, KIAA2034, MHC16, MYH17"	"ENSG00000105357"	"Myosin heavy chain 14"	"Q7Z406"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"MYH6"	NA	"ENSG00000197616"	"Myosin heavy chain 6"	"P13533"	"Tissue enriched"	"Detected in some"	36	"Cell line enriched"	"Detected in single"
"MYH7B"	"dJ756N5.1, KIAA1512, MHC14, MYH14"	"ENSG00000078814"	"Myosin heavy chain 7B"	"A7E2Y1"	"Group enriched"	"Detected in some"	6	"Cell line enhanced"	"Detected in many"
"MYH8"	"MyHC-peri, MyHC-pn"	"ENSG00000133020"	"Myosin heavy chain 8"	"P13535"	"Group enriched"	"Detected in some"	10	"Cell line enriched"	"Detected in single"
"MYH9"	"DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHCA"	"ENSG00000100345"	"Myosin heavy chain 9"	"P35579"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"MYL2"	"CMH10"	"ENSG00000111245"	"Myosin light chain 2"	"P10916"	"Group enriched"	"Detected in some"	11	"Cell line enhanced"	"Detected in some"
"MYLIP"	"IDOL, MIR"	"ENSG00000007944"	"Myosin regulatory light chain interacting protein"	"Q8WY64"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"MYO15A"	"DFNB3, MYO15"	"ENSG00000091536"	"Myosin XVA"	"Q9UKN7"	"Tissue enriched"	"Detected in some"	6	"Cell line enhanced"	"Detected in some"
"MYO16"	"KIAA0865, Myo16b, MYR8, NYAP3, PPP1R107"	"ENSG00000041515"	"Myosin XVI"	"Q9Y6X6"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"MYO18A"	"KIAA0216, MysPDZ"	"ENSG00000196535"	"Myosin XVIIIA"	"Q92614"	"Tissue enriched"	"Detected in all"	7	"Low cell line specificity"	"Detected in all"
"MYO18B"	"BK125H2.1"	"ENSG00000133454"	"Myosin XVIIIB"	NA	"Tissue enriched"	"Detected in some"	5	"Cell line enhanced"	"Detected in some"
"MYO1A"	"DFNA48, MYHL"	"ENSG00000166866"	"Myosin IA"	"Q9UBC5"	"Tissue enriched"	"Detected in some"	27	"Cell line enhanced"	"Detected in some"
"MYO1B"	"myr1"	"ENSG00000128641"	"Myosin IB"	"O43795"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"MYO1C"	"myr2"	"ENSG00000197879"	"Myosin IC"	"O00159"	"Low tissue specificity"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"MYO1G"	"HA-2"	"ENSG00000136286"	"Myosin IG"	"B0I1T2"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"MYO1H"	"FLJ37587"	"ENSG00000174527"	"Myosin IH"	"Q8N1T3"	"Tissue enriched"	"Detected in single"	5	"Cell line enhanced"	"Detected in some"
"MYO5A"	"GS1, MYH12, MYO5, MYR12"	"ENSG00000197535"	"Myosin VA"	"Q9Y4I1"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"MYO6"	"DFNA22, DFNB37, KIAA0389"	"ENSG00000196586"	"Myosin VI"	"Q9UM54"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"MYO7A"	"DFNA11, DFNB2, NSRD2, USH1B"	"ENSG00000137474"	"Myosin VIIA"	"Q13402"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"MYO7B"	NA	"ENSG00000169994"	"Myosin VIIB"	"Q6PIF6"	"Tissue enriched"	"Detected in some"	6	"Cell line enriched"	"Detected in some"
"MYO9B"	"CELIAC4"	"ENSG00000099331"	"Myosin IXB"	"Q13459"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"MYOF"	"FER1L3, KIAA1207"	"ENSG00000138119"	"Myoferlin"	"Q9NZM1"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"MYOG"	"bHLHc3, MYF4"	"ENSG00000122180"	"Myogenin"	"P15173"	"Tissue enriched"	"Detected in some"	5	"Group enriched"	"Detected in some"
"MYOM1"	NA	"ENSG00000101605"	"Myomesin 1"	"P52179"	"Group enriched"	"Detected in many"	6	"Group enriched"	"Detected in some"
"MYOM2"	NA	"ENSG00000036448"	"Myomesin 2"	"P54296"	"Group enriched"	"Detected in some"	14	"Group enriched"	"Detected in some"
"MYOZ3"	"CS-3, CS3, FRP3"	"ENSG00000164591"	"Myozenin 3"	"Q8TDC0"	"Group enriched"	"Detected in some"	19	"Group enriched"	"Detected in some"
"MYPN"	"MYOP"	"ENSG00000138347"	"Myopalladin"	"Q86TC9"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"MYRF"	"C11orf9, MRF, Ndt80, pqn-47"	"ENSG00000124920"	"Myelin regulatory factor"	"Q9Y2G1"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"N4BP1"	NA	"ENSG00000102921"	"NEDD4 binding protein 1"	"O75113"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"N4BP2"	"B3BP"	"ENSG00000078177"	"NEDD4 binding protein 2"	"Q86UW6"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NAA15"	"FLJ13340, NARG1, NATH, TBDN100"	"ENSG00000164134"	"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"	"Q9BXJ9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NAA16"	"FLJ22054, MGC40612, NARG1L, PRO2435"	"ENSG00000172766"	"N(alpha)-acetyltransferase 16, NatA auxiliary subunit"	"Q6N069"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NAA20"	"dJ1002M8.1, NAT3, NAT5"	"ENSG00000173418"	"N(alpha)-acetyltransferase 20, NatB catalytic subunit"	"P61599"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NAA38"	"LSMD1, MGC14151, PFAAP2"	"ENSG00000183011"	"N(alpha)-acetyltransferase 38, NatC auxiliary subunit"	"Q9BRA0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NAALAD2"	"GCPIII, NAALADASE2"	"ENSG00000077616"	"N-acetylated alpha-linked acidic dipeptidase 2"	"Q9Y3Q0"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"NAALADL1"	NA	"ENSG00000168060"	"N-acetylated alpha-linked acidic dipeptidase like 1"	"Q9UQQ1"	"Group enriched"	"Detected in many"	12	"Cell line enhanced"	"Detected in some"
"NAB1"	NA	"ENSG00000138386"	"NGFI-A binding protein 1"	"Q13506"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NADSYN1"	"FLJ10631"	"ENSG00000172890"	"NAD synthetase 1"	"Q6IA69"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NAE1"	"APP-BP1, APPBP1, ula-1"	"ENSG00000159593"	"NEDD8 activating enzyme E1 subunit 1"	"Q13564"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NAGA"	"D22S674"	"ENSG00000198951"	"Alpha-N-acetylgalactosaminidase"	"P17050"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"NALCN"	"bA430M15.1, CanIon, VGCNL1"	"ENSG00000102452"	"Sodium leak channel, non-selective"	"Q8IZF0"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NAP1L4"	"NAP2"	"ENSG00000205531"	"Nucleosome assembly protein 1 like 4"	"Q99733"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"NAT1"	"AAC1"	"ENSG00000171428"	"N-acetyltransferase 1"	"P18440"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"NAT10"	"FLJ10774, FLJ12179, hALP, KIAA1709, Kre33, NET43"	"ENSG00000135372"	"N-acetyltransferase 10"	"Q9H0A0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NAT8L"	"FLJ37478, Hcml3"	"ENSG00000185818"	"N-acetyltransferase 8 like"	"Q8N9F0"	"Group enriched"	"Detected in many"	4	"Cell line enhanced"	"Detected in many"
"NAV2"	"FLJ10633, FLJ11030, FLJ23707, HELAD1, KIAA1419, POMFIL2, RAINB1"	"ENSG00000166833"	"Neuron navigator 2"	"Q8IVL1"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NAV3"	"KIAA0938, POMFIL1"	"ENSG00000067798"	"Neuron navigator 3"	"Q8IVL0"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"NBAS"	"NAG"	"ENSG00000151779"	"Neuroblastoma amplified sequence"	"A2RRP1"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NBEA"	"BCL8B, FLJ10197, KIAA1544, LYST2"	"ENSG00000172915"	"Neurobeachin"	"Q8NFP9"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enriched"	"Detected in many"
"NBPF3"	"AE2"	"ENSG00000142794"	"NBPF member 3"	"Q9H094"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NBPF9"	"AE01"	"ENSG00000269713"	"NBPF member 9"	NA	"Tissue enhanced"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"NCALD"	NA	"ENSG00000104490"	"Neurocalcin delta"	"P61601"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"NCAM1"	"CD56, NCAM"	"ENSG00000149294"	"Neural cell adhesion molecule 1"	"P13591"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NCAPD3"	"CAP-D3, FLJ42888, hCAP-D3, hcp-6, hHCP-6, KIAA0056"	"ENSG00000151503"	"Non-SMC condensin II complex subunit D3"	"P42695"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NCAPG"	"CAP-G, FLJ12450, hCAP-G, YCG1"	"ENSG00000109805"	"Non-SMC condensin I complex subunit G"	"Q9BPX3"	"Tissue enriched"	"Detected in many"	5	"Low cell line specificity"	"Detected in many"
"NCAPH"	"BRRN1, CAP-H, hCAP-H"	"ENSG00000121152"	"Non-SMC condensin I complex subunit H"	"Q15003"	"Group enriched"	"Detected in many"	5	"Low cell line specificity"	"Detected in many"
"NCAPH2"	"384D8-2, CAP-H2, hCAP-H2"	"ENSG00000025770"	"Non-SMC condensin II complex subunit H2"	"Q6IBW4"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NCKAP1L"	"HEM1"	"ENSG00000123338"	"NCK associated protein 1 like"	"P55160"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NCKAP5"	"ERIH1, ERIH2, NAP5"	"ENSG00000176771"	"NCK associated protein 5"	"O14513"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enriched"	"Detected in some"
"NCOA1"	"bHLHe74, F-SRC-1, KAT13A, NCoA-1, RIP160, SRC1"	"ENSG00000084676"	"Nuclear receptor coactivator 1"	"Q15788"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"NCOA3"	"ACTR, AIB1, bHLHe42, CAGH16, KAT13B, p/CIP, RAC3, SRC-3, SRC3, TNRC16, TRAM-1"	"ENSG00000124151"	"Nuclear receptor coactivator 3"	"Q9Y6Q9"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"NCOA4"	"ARA70, DKFZp762E1112, ELE1, PTC3, RFG"	"ENSG00000266412"	"Nuclear receptor coactivator 4"	"Q13772"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NCOR1"	"hCIT529I10, hN-CoR, KIAA1047, MGC104216, N-CoR, PPP1R109, TRAC1"	"ENSG00000141027"	"Nuclear receptor corepressor 1"	"O75376"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NCOR2"	"CTG26, SMRT, SMRTE, TNRC14, TRAC-1"	"ENSG00000196498"	"Nuclear receptor corepressor 2"	"Q9Y618"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NDC80"	"HEC, HEC1, hsNDC80, KNTC2, TID3"	"ENSG00000080986"	"NDC80, kinetochore complex component"	"O14777"	"Tissue enhanced"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"NDUFA13"	"B16.6, CDA016, CGI-39, GRIM-19, GRIM19"	"ENSG00000186010"	"NADH:ubiquinone oxidoreductase subunit A13"	"Q9P0J0"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NDUFA8"	"MGC793, PGIV"	"ENSG00000119421"	"NADH:ubiquinone oxidoreductase subunit A8"	"P51970"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NDUFAF6"	"C8orf38, MGC40214"	"ENSG00000156170"	"NADH:ubiquinone oxidoreductase complex assembly factor 6"	"Q330K2"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NDUFC2"	"B14.5b, HLC-1"	"ENSG00000151366"	"NADH:ubiquinone oxidoreductase subunit C2"	"O95298"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NDUFV3"	"CI-10k"	"ENSG00000160194"	"NADH:ubiquinone oxidoreductase subunit V3"	"P56181"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NEB"	"NEB177D, NEM2"	"ENSG00000183091"	"Nebulin"	"P20929"	"Tissue enriched"	"Detected in some"	8	"Cell line enhanced"	"Detected in some"
"NEBL"	"LASP2, LNEBL"	"ENSG00000078114"	"Nebulette"	"O76041"	"Tissue enriched"	"Detected in many"	4	"Cell line enhanced"	"Detected in many"
"NECAB3"	"APBA2BP, dJ63M2.4, dJ63M2.5, EFCBP3, NIP1, SYTIP2, XB51"	"ENSG00000125967"	"N-terminal EF-hand calcium binding protein 3"	"Q96P71"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NEDD1"	"GCP-WD, TUBGCP7"	"ENSG00000139350"	"Neural precursor cell expressed, developmentally down-regulated 1"	"Q8NHV4"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"NEFH"	NA	"ENSG00000100285"	"Neurofilament heavy"	"P12036"	"Group enriched"	"Detected in many"	10	"Cell line enriched"	"Detected in some"
"NEK1"	"KIAA1901, NY-REN-55"	"ENSG00000137601"	"NIMA related kinase 1"	"Q96PY6"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NEK10"	"FLJ32685"	"ENSG00000163491"	"NIMA related kinase 10"	"Q6ZWH5"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"NEK6"	"SID6-1512"	"ENSG00000119408"	"NIMA related kinase 6"	"Q9HC98"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NELFB"	"COBRA1, KIAA1182, NELF-B"	"ENSG00000188986"	"Negative elongation factor complex member B"	"Q8WX92"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NELL1"	"FLJ45906, IDH3GL"	"ENSG00000165973"	"Neural EGFL like 1"	"Q92832"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NEMF"	"FLJ10051, NY-CO-1, SDCCAG1"	"ENSG00000165525"	"Nuclear export mediator factor"	"O60524"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NEO1"	"HsT17534, IGDCC2, NGN, NTN1R2"	"ENSG00000067141"	"Neogenin 1"	"Q92859"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"NETO1"	"BCTL1, BTCL1"	"ENSG00000166342"	"Neuropilin and tolloid like 1"	"Q8TDF5"	"Tissue enriched"	"Detected in many"	12	"Cell line enhanced"	"Detected in some"
"NEU2"	"SIAL2"	"ENSG00000115488"	"Neuraminidase 2"	"Q9Y3R4"	"Tissue enriched"	"Detected in single"	16	"Group enriched"	"Detected in some"
"NEURL2"	"C20orf163, dJ337O18.6, FLJ30259, Ozz, Ozz-E3"	"ENSG00000124257"	"Neuralized E3 ubiquitin protein ligase 2"	"Q9BR09"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"NEURL4"	"KIAA1787"	"ENSG00000215041"	"Neuralized E3 ubiquitin protein ligase 4"	"Q96JN8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NF1"	NA	"ENSG00000196712"	"Neurofibromin 1"	"P21359"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NFATC2"	"NF-ATP, NFAT1, NFATp"	"ENSG00000101096"	"Nuclear factor of activated T cells 2"	"Q13469"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NFE2L1"	"FLJ00380, LCR-F1, NRF1, TCF11"	"ENSG00000082641"	"Nuclear factor, erythroid 2 like 1"	"Q14494"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NFE2L3"	"Nrf3"	"ENSG00000050344"	"Nuclear factor, erythroid 2 like 3"	"Q9Y4A8"	"Tissue enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in many"
"NFIC"	"CTF, CTF5, NF-I, NFI"	"ENSG00000141905"	"Nuclear factor I C"	"P08651"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NFKB1"	"KBF1, NF-kappaB, NF-kB1, NFkappaB, NFKB-p50, p105, p50"	"ENSG00000109320"	"Nuclear factor kappa B subunit 1"	"P19838"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NFKB2"	"LYT-10, NF-kB2, p105, p49/p100, p52"	"ENSG00000077150"	"Nuclear factor kappa B subunit 2"	"Q00653"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NFKBIB"	"IKBB, TRIP9"	"ENSG00000104825"	"NFKB inhibitor beta"	"Q15653"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NFXL1"	"HOZFP"	"ENSG00000170448"	"Nuclear transcription factor, X-box binding like 1"	"Q6ZNB6"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NFYA"	"CBF-B, HAP2, NF-YA"	"ENSG00000001167"	"Nuclear transcription factor Y subunit alpha"	"P23511"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NGFR"	"CD271, p75NTR, TNFRSF16"	"ENSG00000064300"	"Nerve growth factor receptor"	"P08138"	"Low tissue specificity"	"Detected in all"	NA	"Group enriched"	"Detected in some"
"NHLRC3"	NA	"ENSG00000188811"	"NHL repeat containing 3"	"Q5JS37"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NHSL1"	"bA43P8.1, C6orf63, KIAA1357"	"ENSG00000135540"	"NHS like 1"	"Q5SYE7"	"Tissue enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in many"
"NIFK"	"hNIFK, MKI67IP, Nopp34"	"ENSG00000155438"	"Nucleolar protein interacting with the FHA domain of MKI67"	"Q9BYG3"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NIN"	NA	"ENSG00000100503"	"Ninein"	"Q8N4C6"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NIPAL4"	"ICHYN"	"ENSG00000172548"	"NIPA like domain containing 4"	"Q0D2K0"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"NISCH"	"I-1, IRAS, KIAA0975"	"ENSG00000010322"	"Nischarin"	"Q9Y2I1"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NKD2"	"Naked2"	"ENSG00000145506"	"Naked cuticle homolog 2"	"Q969F2"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NKTR"	"p104"	"ENSG00000114857"	"Natural killer cell triggering receptor"	"P30414"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NKX2-2"	"NKX2.2, NKX2B"	"ENSG00000125820"	"NK2 homeobox 2"	"O95096"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"NKX6-2"	"GTX, NKX6.1, NKX6B"	"ENSG00000148826"	"NK6 homeobox 2"	"Q9C056"	"Group enriched"	"Detected in many"	25	"Cell line enhanced"	"Detected in single"
"NLGN3"	"ASPGX1, AUTSX1, HNL3, KIAA1480"	"ENSG00000196338"	"Neuroligin 3"	"Q9NZ94"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NLGN4X"	"HLNX, KIAA1260, NLGN, NLGN4"	"ENSG00000146938"	"Neuroligin 4, X-linked"	"Q8N0W4"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"NLN"	"AGTBP, KIAA1226"	"ENSG00000123213"	"Neurolysin"	"Q9BYT8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NLRC3"	"CLR16.2, FLJ00348, NOD3"	"ENSG00000167984"	"NLR family CARD domain containing 3"	"Q7RTR2"	"Tissue enriched"	"Detected in many"	4	"Cell line enhanced"	"Detected in some"
"NLRC5"	"CLR16.1, FLJ21709, NOD27"	"ENSG00000140853"	"NLR family CARD domain containing 5"	"Q86WI3"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NLRP2"	"CLR19.9, FLJ20510, NALP2, NBS1, PAN1, PYPAF2"	"ENSG00000022556"	"NLR family pyrin domain containing 2"	"Q9NX02"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NLRP7"	"CLR19.4, NALP7, NOD12, PAN7, PYPAF3"	"ENSG00000167634"	"NLR family pyrin domain containing 7"	"Q8WX94"	"Group enriched"	"Detected in some"	5	"Cell line enhanced"	"Detected in some"
"NME6"	"IPIA-ALPHA, NM23-H6"	"ENSG00000172113"	"NME/NM23 nucleoside diphosphate kinase 6"	"O75414"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NNMT"	NA	"ENSG00000166741"	"Nicotinamide N-methyltransferase"	"P40261"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"NOB1"	"ART-4, MST158, NOB1P, PSMD8BP1"	"ENSG00000141101"	"NIN1/PSMD8 binding protein 1 homolog"	"Q9ULX3"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NOD1"	"CARD4, CLR7.1, NLRC1"	"ENSG00000106100"	"Nucleotide binding oligomerization domain containing 1"	"Q9Y239"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"NOD2"	"BLAU, CARD15, CD, CLR16.3, IBD1, NLRC2, PSORAS1"	"ENSG00000167207"	"Nucleotide binding oligomerization domain containing 2"	"Q9HC29"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NOL9"	"FLJ23323, Grc3, NET6"	"ENSG00000162408"	"Nucleolar protein 9"	"Q5SY16"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NOMO1"	"PM5"	"ENSG00000103512"	"NODAL modulator 1"	"Q15155"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"NOP16"	"HSPC111, HSPC185, LOC51491"	"ENSG00000048162"	"NOP16 nucleolar protein"	"Q9Y3C1"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NOP2"	"NOL1, NOP120, NSUN1, p120"	"ENSG00000111641"	"NOP2 nucleolar protein"	"P46087"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NOP58"	"HSPC120, NOP5"	"ENSG00000055044"	"NOP58 ribonucleoprotein"	"Q9Y2X3"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NOS1"	"nNOS, NOS"	"ENSG00000089250"	"Nitric oxide synthase 1"	"P29475"	"Group enriched"	"Detected in some"	6	"Cell line enhanced"	"Detected in some"
"NOS3"	"ECNOS, eNOS"	"ENSG00000164867"	"Nitric oxide synthase 3"	"P29474"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in some"
"NOTCH1"	"TAN1"	"ENSG00000148400"	"Notch 1"	"P46531"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NOTCH2"	NA	"ENSG00000134250"	"Notch 2"	"Q04721"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"NOVA1"	NA	"ENSG00000139910"	"NOVA alternative splicing regulator 1"	"P51513"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NOX1"	"GP91-2, MOX1, NOH-1, NOH1"	"ENSG00000007952"	"NADPH oxidase 1"	"Q9Y5S8"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enriched"	"Detected in some"
"NOX5"	"NOX5A, NOX5B"	"ENSG00000255346"	"NADPH oxidase 5"	"Q96PH1"	"Group enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in some"
"NPAS3"	"bHLHe12, MOP6, PASD6"	"ENSG00000151322"	"Neuronal PAS domain protein 3"	"Q8IXF0"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"NPDC1"	"CAB-, CAB1, DKFZp586J0523"	"ENSG00000107281"	"Neural proliferation, differentiation and control 1"	"Q9NQX5"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"NPHP3"	"CFAP31, FLJ30691, FLJ36696, KIAA2000, MKS7, NPH3, SLSN3"	"ENSG00000113971"	"Nephrocystin 3"	"Q7Z494"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"NPHP4"	"KIAA0673, POC10, SLSN4"	"ENSG00000131697"	"Nephrocystin 4"	"O75161"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"NPLOC4"	"FLJ20657, KIAA1499, NPL4"	"ENSG00000182446"	"NPL4 homolog, ubiquitin recognition factor"	"Q8TAT6"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"NPNT"	"EGFL6L, POEM"	"ENSG00000168743"	"Nephronectin"	"Q6UXI9"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"NPRL3"	"C16orf35, CGTHBA, HS-40, MARE, NPR3, RMD11"	"ENSG00000103148"	"NPR3 like, GATOR1 complex subunit"	"Q12980"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
